,0
0,b'STC001TFa'
1,b'STC001THa'
2,b'STC001TIa'
3,b'STC001TJa'
4,b'STC001TKa'
5,b'STC001TMa'
6,b'STC001TNa'
7,b'STC001TPa'
8,b'STC001TQa'
9,b'STC001TRa'
10,b'STC001TSa'
11,b'STC001TTa'
12,b'STC001TUa'
13,b'STC001TVa'
14,b'STC001TWa'
15,b'STC001TYa'
16,b'STC001TZa'
17,b'STC001U0a'
18,b'STC001U1a'
19,b'STC001U2a'
20,b'STC001U3a'
21,b'STC001U4a'
22,b'STC001U5a'
23,b'STC001U6a'
24,b'STC001U7a'
25,b'STC001U8a'
26,b'STC001U9a'
27,b'STC001UAa'
28,b'STC001UBa'
29,b'STC001UCa'
30,b'STC001UDa'
31,b'STC001UEa'
32,b'STC001UFa'
33,b'STC001UGa'
34,b'STC001UHa'
35,b'STC001UIa'
36,b'STC001UKa'
37,b'STC001ULa'
38,b'STC001UMa'
39,b'STC001UNa'
40,b'STC001UOa'
41,b'STC001UPa'
42,b'STC001UQa'
43,b'STC001URa'
44,b'STC001USa'
45,b'STC001UTa'
46,b'STC001UUa'
47,b'STC001UVa'
48,b'STC001UWa'
49,b'STC001UXa'
50,b'STC001UYa'
51,b'STC001UZa'
52,b'STC001Uaa'
53,b'STC001Uba'
54,b'STC001Uca'
55,b'STC001Uda'
56,b'STC001Uea'
57,b'STC001Ufa'
58,b'STC001Uga'
59,b'STC001Uha'
60,b'STC001Uia'
61,b'STC001Uja'
62,b'STC001Uka'
63,b'STC001Ula'
64,b'STC001Uma'
65,b'STC001Una'
66,b'STC001Uoa'
67,b'STC001Upa'
68,b'STC001Uqa'
69,b'STC001Ura'
70,b'STC001Usa'
71,b'STC001Uta'
72,b'STC001Uua'
73,b'STC001Uva'
74,b'STC001Uwa'
75,b'STC001Uxa'
76,b'STC001Uya'
77,b'STC001Uza'
78,b'STC001V0a'
79,b'STC001V1a'
80,b'STC001V2a'
81,b'STC001V3a'
82,b'STC001V4a'
83,b'STC001V5a'
84,b'STC001V6a'
85,b'STC001V7a'
86,b'STC001V9a'
87,b'STC001VAa'
88,b'STC001VBa'
89,b'STC001VCa'
90,b'STC001VDa'
91,b'STC001VEa'
92,b'STC001VFa'
93,b'STC001VGa'
94,b'STC001VHa'
95,b'STC001VIa'
96,b'STC001VJa'
97,b'STC001VKa'
98,b'STC001VLa'
99,b'STC001VMa'
100,b'STC001VOa'
101,b'STC001VPa'
102,b'STC001VQa'
103,b'STC001VRa'
104,b'STC001VSa'
105,b'STC001VTa'
106,b'STC001VUa'
107,b'STC001VVa'
108,b'STC001VWa'
109,b'STC001VXa'
110,b'STC001VYa'
111,b'STC001VZa'
112,b'STC001Vaa'
113,b'STC001Vba'
114,b'STC001Vca'
115,b'STC001Vda'
116,b'STC001Vea'
117,b'STC001Vga'
118,b'STC001Vha'
119,b'STC001Via'
120,b'STC001Vja'
121,b'STC001Vka'
